RegID,CatID,Cat,Grade,SeriesRank,Pct_Series,SeriesPoints,Rank_1,Final_1,CatID_1,Rank_2,Final_2,CatID_2,Rank_3,Final_3,CatID_3,Rank_4,Final_4,CatID_4,Rank_5,Final_5,CatID_5,Rank_6,Final_6,CatID_6
100288663,201,Junior Varsity 9-10th Grade Male,9.0,35,,1268,35.0,4072.03,201.0,35.0,3615.06,201.0,31.0,4600.69,201.0,35.0,4070.03,201.0,,,,23.0,3887.03,201.0
100393673,702,Elementary 5th Grade Female,5.0,15,,591,,,,9.0,2173.28,702.0,,,,11.0,3140.74,702.0,10.0,2779.74,702.0,,,
100393674,104,Advanced Middle School Female,6.0,4,,1588,4.0,3661.58,104.0,4.0,3402.18,104.0,5.0,4142.72,104.0,4.0,3861.21,104.0,4.0,3695.94,104.0,3.0,3794.1,104.0
100393678,104,Advanced Middle School Female,7.0,3,,1612,3.0,3611.66,104.0,2.0,3247.12,104.0,-1.0,,104.0,3.0,3794.67,104.0,3.0,3654.2,104.0,5.0,3806.0,104.0
100393679,104,Advanced Middle School Female,7.0,1,,1700,1.0,3375.33,104.0,1.0,3215.94,104.0,1.0,3799.51,104.0,1.0,3465.01,104.0,1.0,3458.7,104.0,1.0,3651.33,104.0
100393688,103,Advanced Middle School Male,5.0,6,,1564,1.0,3207.35,103.0,5.0,3184.31,103.0,6.0,3712.66,103.0,4.0,3384.82,103.0,6.0,3366.71,103.0,6.0,3506.47,103.0
100393689,503,Novice 6th Grade Male,6.0,35,,441,-1.0,1566.35,503.0,15.0,2785.58,503.0,,,,13.0,3298.24,503.0,,,,,,
100393693,502,Novice 7th Grade Male,7.0,1,,1388,1.0,3248.42,502.0,2.0,2533.48,502.0,2.0,3426.13,502.0,1.0,2930.53,502.0,1.0,2892.01,502.0,3.0,2677.79,502.0
100393696,502,Novice 7th Grade Male,7.0,28,,774,5.0,3452.5,502.0,1.0,2532.42,502.0,,,,,,,,,,9.0,2864.52,502.0
100393698,501,Novice 8th Grade Male,8.0,1,,1400,3.0,3261.86,501.0,1.0,2441.13,501.0,1.0,3334.21,501.0,1.0,2812.58,501.0,1.0,2739.88,501.0,1.0,2579.89,501.0
100393700,103,Advanced Middle School Male,8.0,3,,1612,3.0,3303.38,103.0,4.0,3131.13,103.0,4.0,3660.87,103.0,2.0,3294.81,103.0,3.0,3238.81,103.0,5.0,3405.43,103.0
100393702,103,Advanced Middle School Male,8.0,5,,1578,7.0,3423.13,103.0,7.0,3193.31,103.0,3.0,3659.88,103.0,,,,2.0,3231.07,103.0,2.0,3395.8,103.0
100393703,103,Advanced Middle School Male,8.0,7,,1465,8.0,3426.38,103.0,14.0,3333.96,103.0,9.0,3779.06,103.0,6.0,3512.39,103.0,7.0,3396.92,103.0,7.0,3507.55,103.0
100393707,103,Advanced Middle School Male,8.0,1,,1700,2.0,3235.15,103.0,1.0,3101.85,103.0,1.0,3658.87,103.0,1.0,3246.51,103.0,1.0,3153.12,103.0,1.0,3358.88,103.0
100393713,203,Junior Varsity Female,9.0,13,,1616,4.0,3792.46,203.0,13.0,3974.28,203.0,12.0,4772.91,203.0,12.0,4202.52,203.0,,,,15.0,4479.5,203.0
100393716,102,Varsity Female,10.0,9,,2062,12.0,5798.8,102.0,8.0,5302.21,102.0,9.0,6390.82,102.0,6.0,5663.34,102.0,8.0,5703.45,102.0,8.0,5911.46,102.0
100393718,102,Varsity Female,10.0,10,,2010,10.0,5687.96,102.0,9.0,5347.81,102.0,11.0,6485.95,102.0,13.0,5964.49,102.0,5.0,5528.55,102.0,12.0,6185.5,102.0
100393719,102,Varsity Female,10.0,11,,1992,8.0,5605.02,102.0,10.0,5359.94,102.0,12.0,6625.83,102.0,9.0,5710.35,102.0,16.0,7209.51,102.0,10.0,5990.68,102.0
100393720,102,Varsity Female,11.0,2,,2312,2.0,5136.09,102.0,2.0,4919.02,102.0,3.0,5878.41,102.0,5.0,5562.06,102.0,3.0,5283.58,102.0,3.0,5491.31,102.0
100393726,203,Junior Varsity Female,11.0,24,,388,2.0,3773.78,203.0,,,,,,,,,,,,,,,
100393730,201,Junior Varsity 9-10th Grade Male,9.0,4,,1904,3.0,3168.66,201.0,4.0,2966.48,201.0,3.0,3412.58,201.0,2.0,3155.98,201.0,-1.0,,201.0,2.0,3225.31,201.0
100393732,101,Varsity Male,10.0,15,,1855,13.0,4804.24,101.0,14.0,4465.57,101.0,12.0,5249.7,101.0,17.0,5018.56,101.0,16.0,4974.94,101.0,-1.0,1709.85,101.0
100393736,201,Junior Varsity 9-10th Grade Male,10.0,16,,1559,8.0,3257.94,201.0,15.0,3185.06,201.0,11.0,3841.17,201.0,21.0,3604.73,201.0,,,,14.0,3628.72,201.0
